Organisationsnr	Namn	PostAdress	PostNr	PostOrt	BesöksAdress	BesöksPostNr	BesöksPostOrt	Tfn	Fax	Epost	Webbadress	SFS
202100-2163	MIGRATIONSVERKET		601 70	NORRKÖPING	SLOTTSGATAN 81-82	602 22	NORRKÖPING	0771-235235	010-4856075	migrationsverket@migrationsverket.se	www.migrationsverket.se	2007:996
202100-4524	MITTUNIVERSITETET		851 70	SUNDSVALL	HOLMGATAN 10	852 30	SUNDSVALL	010-1428000		registrator@miun.se	www.miun.se	1993:100
202100-5091	MODERNA MUSEET	BOX 16382	103 27	STOCKHOLM	EXERCISPLAN 4 SKEPPSHOLMEN	111 49	STOCKHOLM	08-52023500	08-6781604	registrator@modernamuseet.se	www.modernamuseet.se	2007:1177
202100-6875	MYNDIGHETEN FÖR ARBETSMILJÖKUNSKAP	NORRA KANSLIGATAN 14	803 20	GÄVLE	NYGATAN 25	803 20	GÄVLE					2018:254
202100-5588	MYNDIGHETEN FÖR DELAKTIGHET	BOX 1210	172 24	SUNDBYBERG	STUREGATAN 3	172 31	SUNDBYBERG	08-6008400	08-6008499	info@mfd.se	www.mfd.se	2014:134
202100-6883	MYNDIGHETEN FÖR DIGITAL FÖRVALTNING	BOX 14	851 02	SUNDSVALL	STORGATAN 37	852 30	SUNDSVALL	0771-111440				2018:1486
202100-4169	MYNDIGHETEN FÖR FAMILJERÄTT OCH FÖRÄLDRASKAPSSTÖD	BOX 35	931 21	SKELLEFTEÅ	VASAGATAN 38	111 20	STOCKHOLM	08-54555680	08-6504110	info@mfof.se	www.mfof.se	2017:292
202100-6404	MYNDIGHETEN FÖR KULTURANALYS	BOX 188	101 23	STOCKHOLM	TORSGATAN 11 4TR	111 23	STOCKHOLM	08-52802000	08-52802011	info@kulturanalys.se	www.kulturanalys.se	2011:124
202100-6347	MYNDIGHETEN FÖR PRESS, RADIO OCH TV	BOX 33	121 25	STOCKHOLM-GLOBEN	ARENAVÄGEN 55	121 77	JOHANNESHOV	08-58007000	08-741087	registrator@mprt.se	www.radioochtv.se	2010:1062
202100-5984	MYNDIGHETEN FÖR SAMHÄLLSSKYDD OCH BEREDSKAP (MSB)		651 81	KARLSTAD	PACKHUSALLÉN 2	652 14	KARLSTAD	0771-240240	010-2405600	registrator@msb.se	www.msb.se	2018:1518
202100-5141	MYNDIGHETEN FÖR STÖD TILL TROSSAMFUND	BOX 14038	167 14	BROMMA	GUSTAVSLUNDSVÄGEN 18	167 51	BROMMA	08-4536870	08-4536829	info@sst.a.se	www.sst.a.se	2017:104
202100-3591	MYNDIGHETEN FÖR TILLGÄNGLIGA MEDIER	BOX 5113	121 17	JOHANNESHOV	PALMFELTSVÄGEN 5	121 62	JOHANNESHOV	08-58002700	08-58002770	info@mtm.se	www.mtm.se	2010:769
202100-6164	MYNDIGHETEN FÖR TILLVÄXTPOLITISKA UTVÄRDERINGAR OCH ANALYSER	STUDENTPLAN 3	831 40	ÖSTERSUND	STUDENTPLAN 3	831 40	ÖSTERSUND	010-4474400	010-4474401	info@tillvaxtanalys.se	www.tillvaxtanalys.se	2016:1048
202100-1173	MYNDIGHETEN FÖR UNGDOMS-OCH CIVILSAMHÄLLESFRÅGOR	BOX 17801	118 94	STOCKHOLM	MEDBORGARPLATSEN 3 SÖDERHALLARNA, PLAN 11	118 26	STOCKHOLM	08-56621900	08-56621998	info@mucf.se	www.mucf.se	2018:1425
202100-6412	MYNDIGHETEN FÖR VÅRD- OCH OMSORGSANALYS	BOX 6070	102 31	STOCKHOLM	DROTTNINGGATAN 89	113 60	STOCKHOLM	08-6904100		registrator@vardanalys.se	www.vardanalys.se	2010:1385
202100-6230	MYNDIGHETEN FÖR YRKESHÖGSKOLAN	BOX 145	721 05	VÄSTERÅS	INGENJÖR BÅÅTHS GATA 19	722 12	VÄSTERÅS	010-2090100	021-132016	info@myh.se	www.myh.se	2011:1162
202100-2916	MÄLARDALENS HÖGSKOLA	BOX 883	721 23	VÄSTERÅS	HÖGSKOLEPLAN 1	722 20	VÄSTERÅS	021-101300	021-101320	info@mdh.se	www.mdh.se	1993:100
202100-1108	NATIONALMUSEUM	BOX 16176	103 24	STOCKHOLM	AMIRALITETSBACKEN 1 G:A AMIRALITETET	111 49	STOCKHOLM	08-51954300	08-51954451	registrator@nationalmuseum.se	www.nationalmuseum.se	2007:1175
202100-1124	NATURHISTORISKA RIKSMUSEET	BOX 50007	104 05	STOCKHOLM	FRESCATIVÄGEN 40	114 18	STOCKHOLM	08-51954000	08-51954085	registrator@nrm.se	www.nrm.se	2007:1176
202100-1975	NATURVÅRDSVERKET		106 48	STOCKHOLM	VALHALLAVÄGEN 195	115 53	STOCKHOLM	010-6981000	010-6981099	registrator@naturvardsverket.se	www.naturvardsverket.se	2012:989
202100-2726	NORDISKA AFRIKAINSTITUTET	BOX 1703	751 47	UPPSALA	VILLAVÄGEN 6	752 36	UPPSALA	018-4715200		nai@nai.uu.se	www.nai.uu.se	2007:1222
202100-6032	NOTARIENÄMNDEN		551 81	JÖNKÖPING				036-155300	036-715360	domstolsverket@dom.se	www.domstol.se/Om-Sveriges-Domstolar/Notarienamnden	2007:1076
202100-4144	NÄMNDEN FÖR HEMSLÖJDSFRÅGOR	BOX 4006	102 61	STOCKHOLM	VÄSTGÖTAGATAN 5	118 27	STOCKHOLM	08-6819353		nfh@nfh.se	www.nfh.se	2007:1193
202100-5786	NÄMNDEN FÖR STYRELSEREPRESENTATIONSFRÅGOR		103 33	STOCKHOLM				08-4051000			www.regeringen.se/myndigheter-med-flera/namnden-for-styrelserepresentationsfragor	2007:909
202100-6206	NÄMNDEN MOT DISKRIMINERING	BOX 2066	103 12	STOCKHOLM				08-56166668		kansliet@namndenmotdiskriminering.se	www.namndenmotdiskriminering.se	2008:1328
202100-6776	OLJEKRISNÄMNDEN		103 33	STOCKHOLM							www.regeringen.se/myndigheter-med-flera/oljekrisnamnden	2007:1152
202100-2072	PATENT- OCH REGISTRERINGSVERKET	BOX 5055	102 42	STOCKHOLM	VALHALLAVÄGEN 136	114 41	STOCKHOLM	08-7822800	08-6660286	prv@prv.se	www.prv.se	2007:1111
202100-6370	PATENTOMBUDSNÄMNDEN	BOX 46	851 02	SUNDSVALL	STUVARVÄGEN 21	852 29	SUNDSVALL	0771-670670		patentombudsnamnden@patentombudsnamnden.se	www.bolagsverket.se/om/oss/fler/patentombud	2010:1054
202100-6255	PENSIONSMYNDIGHETEN	BOX 38190	100 64	STOCKHOLM	HORNSGATAN 168	117 28	STOCKHOLM	0771-771771		registrator@pensionsmyndigheten.se	www.pensionsmyndigheten.se	2009:1173
202100-4060	POLARFORSKNINGSSEKRETARIATET	BOX 50003	104 05	STOCKHOLM	AF PONTINS VÄG 6 HUS 4	115 21	STOCKHOLM	08-4502500	08-4502599	office@polar.se	www.polar.se	2007:1072
202100-0076	POLISMYNDIGHETEN	BOX 12256	102 26	STOCKHOLM	POLHEMSGATAN 30	112 30	STOCKHOLM	11414	010-5634444	registrator.kansli@polisen.se	www.polisen.se	2014:1102
202100-4359	POST- OCH TELESTYRELSEN	BOX 5398	102 49	STOCKHOLM	VALHALLAVÄGEN 117A	115 31	STOCKHOLM	08-6785500	08-6785505	pts@pts.se	www.pts.se	2007:951
202100-3831	REGERINGSKANSLIET		103 33	STOCKHOLM	ROSENBAD 4	111 52	STOCKHOLM	08-4051000	08-7231171	registrator@regeringskansliet.se	www.regeringen.se/regeringskansliet	1996:1515
202200-1545	REGIONALA ETIKPRÖVNINGSNÄMNDEN I GÖTEBORG	BOX 401	405 30	GÖTEBORG	GULDHEDSGATAN 5A HUS 2	413 20	GÖTEBORG	031-7866821			www.epn.se/goeteborg	2007:1069
202200-1552	REGIONALA ETIKPRÖVNINGSNÄMNDEN I LINKÖPING	LINKÖPINGS UNIVERSITET  PLAN 2	581 83	LINKÖPING	SANDBÄCKSGATAN 7	582 25	LINKÖPING	013-282776		registrator@linkoping.epn.se	www.epn.se/linkoeping/om-naemnden/	2007:1069
202200-1560	REGIONALA ETIKPRÖVNINGSNÄMNDEN I LUND	BOX 133	221 00	LUND	SANDGATAN 1	223 50	LUND	046-2224180	046-2224422	registrator@epn.lu.se	www.epn.se/lund/om-naemnden/	2007:1069
202200-1578	REGIONALA ETIKPRÖVNINGSNÄMNDEN I STOCKHOLM	FE 289	171 77	STOCKHOLM	TOMTEBODAVÄGEN 18A PLAN 3	171 65	SOLNA	08-52487000	08-52486699	kansli@stockholm.epn.se	www.epn.se/stockholm/om-naemnden/	2007:1069
202200-1586	REGIONALA ETIKPRÖVNINGSNÄMNDEN I UMEÅ		901 87	UMEÅ	UNIVERSITETSOMRÅDET  SAMVERKANSHUSET	901 87	UMEÅ	090-7867252		epn@adm.umu.se	www.epn.se/umeaa/om-naemnden/	2007:1069
202200-1594	REGIONALA ETIKPRÖVNINGSNÄMNDEN I UPPSALA	BOX 1964	751 49	UPPSALA	DROTTNINGGATAN 4	753 10	UPPSALA	018-4717401	018-4717410	registrator@uppsala.epn.se	www.epn.se/uppsala/om-naemnden/	2007:1069
202100-6354	RESEGARANTINÄMNDEN	BOX 2218	103 15	STOCKHOLM				08-7000800			www.kammarkollegiet.se	2007:1039
202100-4805	REVISORSINSPEKTIONEN	BOX 24014	104 50	STOCKHOLM	KARLAVÄGEN 104	115 26	STOCKHOLM	08-7831870	08-7831871	rn@revisorsnamnden.se	www.revisorsnamnden.se	2007:1077
202100-1090	RIKSANTIKVARIEÄMBETET	BOX 5405	114 84	STOCKHOLM	STORGATAN 41	114 55	STOCKHOLM	08-51918000	08-6610607	registrator@raa.se	www.raa.se	2014:1585
202100-1074	RIKSARKIVET	BOX 12541	102 29	STOCKHOLM	FYRVERKARBACKEN 13	112 60	STOCKHOLM	010-4767000	010-4767120	riksarkivet@riksarkivet.se	www.riksarkivet.se	2009:1593
202100-6461	RIKSDAGENS ARVODESNÄMND		100 12	STOCKHOLM						riksdagens.arvodesnamnd@riksdagen.se	www.riksdagen.se/sv/sa-funkar-riksdagen/riksdagens-myndigheter-och-namnder/riksdagens-arvodesnamnd	2012:883
202100-2635	RIKSGÄLDSKONTORET		103 74	STOCKHOLM	JAKOBSBERGSGATAN 13	111 44	STOCKHOLM	08-6134500	08-212163	riksgalden@riksgalden.se	www.riksgalden.se	2007:1447
202100-6784	RIKSVÄRDERINGSNÄMNDEN		103 33	STOCKHOLM								2007:859
202100-2585	RYMDSTYRELSEN	BOX 4006	171 04	SOLNA	HEMVÄRNSGATAN 15	171 54	SOLNA	08-40907700	08-6275014	rymdstyrelsen@snsb.se	www.rymdstyrelsen.se	2007:1115
202100-6008	RÄTTSHJÄLPNÄMNDEN	BOX 170	851 03	SUNDSVALL				060-186891	060-186839	rattshjalpsnamnden@dom.se	www.domstol.se/rattshjalpsnamnden	2007:1079
202100-6016	RÄTTSHJÄLPSMYNDIGHETEN	BOX 853	851 24	SUNDSVALL				060-134600	060-134640	rattshjalpsmyndigheten@dom.se	www.rattshjalp.se	2007:1078
202100-4227	RÄTTSMEDICINALVERKET	BOX 206	101 24	STOCKHOLM	KLARABERGSVIADUKTEN 90 HUS D, PLAN 7	111 64	STOCKHOLM	010-4834100	08-240530	rmv@rmv.se	www.rmv.se	2007:976
202100-4631	SAMESKOLSTYRELSEN	BOX 155	962 24	JOKKMOKK	LÄRARGATAN 2	962 31	JOKKMOKK	0971-44200	0971-44215	sameskolstyrelsen@sameskolstyrelsen.se	www.sameskolstyrelsen.se	2011:131
202100-4573	SAMETINGET	BOX 90	981 22	KIRUNA	ADOLF HEDINSVÄGEN 58	981 33	KIRUNA	0980-78030	0980-78031	kansli@sametinget.se	www.sametinget.se	2009:1395
202100-4789	SIDA		105 25	STOCKHOLM	VALHALLAVÄGEN 199	115 53	STOCKHOLM	08-6985000	08-208864	sida@sida.se	www.sida.se	2010:1080
202100-5901	SKATTERÄTTSNÄMNDEN	BOX 24144	104 51	STOCKHOLM				010-5747957	08-210619	kansliet@skatterattsnamnden.se	www.skatterattsnamnden.se	2007:785
202100-5448	SKATTEVERKET		171 94	SOLNA	SOLNA STRANDVÄG 22	171 54	SOLNA	0771-567567			www.skatteverket.se	2017:154
202100-5869	SKILJENÄMNDEN I VISSA TRYGGHETSFRÅGOR	BOX 2218	103 15	STOCKHOLM				08-7000800		registratur@kammarkollegiet.se	www.kammarkollegiet.se/kammarkollegiet/vi-arbetar-ocksa-med/naemndmyndigheter/skiljenaemnden-i-vissa-trygghetsfragor	2007:830
202100-5612	SKOGSSTYRELSEN		551 83	JÖNKÖPING	VALLGATAN 8	553 16	JÖNKÖPING	036-359300	036-166170	skogsstyrelsen@skogsstyrelsen.se	www.skogsstyrelsen.se	2009:1393
202100-6602	SKOLFORSKNINGSINSTITUTET	BOX 1009	171 21	SOLNA	HEMVÄRNSGATAN 15	171 54	SOLNA	08-52729800		info@skolfi.se	www.skolfi.se	2014:1578
202100-5729	SKOLVÄSENDETS ÖVERKLAGANDENÄMND	BOX 23069	104 35	STOCKHOLM				08-7297760	08-58608009	overklagandenamnden@overklagandenamnden.se	www.overklagandenamnden.se	2007:948
202100-0555	SOCIALSTYRELSEN		106 30	STOCKHOLM	RÅLAMBSVÄGEN 3	112 59	STOCKHOLM	075-2473000	075-2473252	socialstyrelsen@socialstyrelsen.se	www.socialstyrelsen.se	2015:284
202100-5745	SPECIALPEDAGOGISKA SKOLMYNDIGHETEN	BOX 1100	871 29	HÄRNÖSAND	NYBROGATAN 14C	871 31	HÄRNÖSAND	010-4735000	010-4736642	spsm@spsm.se	www.spsm.se	2011:130
202100-5836	STATENS ANSVARSNÄMND	BOX 2290	103 17	STOCKHOLM				08-56167131	08-202141	ansvarsnamnden@dom.se	www.statensansvarsnamnd.se	2007:831
202100-4417	STATENS BEREDNING FÖR MEDICINSK OCH SOCIAL UTVÄRDERING	BOX 6183	102 33	STOCKHOLM	SANKT ERIKSGATAN 117	113 43	STOCKHOLM	08-4123200	08-4113260	registrator@sbu.se	www.sbu.se	2007:1233
202100-3427	STATENS CENTRUM FÖR ARKITEKTUR OCH DESIGN	BOX 16410	103 27	STOCKHOLM	EXERCISPLAN 4 SKEPPSHOLMEN	111 49	STOCKHOLM	08-52023500	08-58727070	info@arkdes.se	www.arkdes.se	2013:71
202100-5000	STATENS ENERGIMYNDIGHET	BOX 310	631 04	ESKILSTUNA	GREDBYVÄGEN 10	632 21	ESKILSTUNA	016-5442000	016-5442099	registrator@energimyndigheten.se	www.energimyndigheten.se	2014:520
202100-4474	STATENS FASTIGHETSVERK	BOX 2263	103 16	STOCKHOLM	STORKYRKOBRINKEN 4	111 28	STOCKHOLM	010-4787000	010-4787001	sfv@sfv.se	www.sfv.se	2007:757
202100-0464	STATENS FÖRSVARSHISTORISKA MUSEER	BOX 14095	104 41	STOCKHOLM	RIDDARGATAN 13	114 51	STOCKHOLM	08-51956310	08-6626831	info@sfhm.se	www.sfhm.se	2007:1178
202100-0712	STATENS GEOTEKNISKA INSTITUT		581 93	LINKÖPING	OLAUS MAGNUS VÄG 35	583 30	LINKÖPING	013-201800	013-201914	sgi@swedgeo.se	www.swedgeo.se	2009:945
202100-3260	STATENS HAVERIKOMMISSION	BOX 6014	102 31	STOCKHOLM	SVEAVÄGEN 151 PLAN 6	113 46	STOCKHOLM	08-50886200	08-50886290	info@havkom.se	www.havkom.se	2007:860
202100-4953	STATENS HISTORISKA MUSEER	BOX 5428	114 84	STOCKHOLM	STORGATAN 41	114 55	STOCKHOLM	08-51955600	08-51955603	registrator@shm.se	www.shmm.se	2014:1079
202100-6214	STATENS INSPEKTION FÖR FÖRSVARSUNDERRÄTTELSEVERKSAMHETEN (SIUN)	BOX 1140	164 22	KISTA	GULLFOSSGATAN 6	164 40	KISTA	08-55504550		registrator@siun.se	www.siun.se	2009:969
202100-4508	STATENS INSTITUTIONSSTYRELSE	BOX 30224	104 25	STOCKHOLM	LINDHAGENSGATAN 126	112 51	STOCKHOLM	010-4534000	010-4534050	registrator@stat-inst.se	www.stat-inst.se	2007:1132
202100-4151	STATENS JORDBRUKSVERK		551 82	JÖNKÖPING	VALLGATAN 8	553 16	JÖNKÖPING	0771-223223	036-190546	jordbruksverket@jordbruksverket.se	www.jordbruksverket.se	2009:1464
202100-1033	STATENS KONSTRÅD	HÄLSINGEGATAN 45	113 31	STOCKHOLM	HÄLSINGEGATAN 45	113 31	STOCKHOLM	08-4401280	08-4401281	registrator@statenskonstrad.se	www.statenskonstrad.se	2007:1188
202100-1280	STATENS KULTURRÅD	BOX 27215	102 53	STOCKHOLM	BORGVÄGEN 1-5	115 53	STOCKHOLM	08-51926400	08-51926499	kulturradet@kulturradet.se	www.kulturradet.se	2012:515
202100-1132	STATENS MARITIMA MUSEER	BOX 48	371 21	KARLSKRONA	STUMHOLMEN	371 32	KARLSKRONA	0455-359300	0455-359350	registrator@maritima.se	www.maritima.se	2007:1198
202100-6396	STATENS MEDIERÅD	BOX 27204	102 53	STOCKHOLM	BORGVÄGEN 1 5 TR	115 53	STOCKHOLM	08-6651460	08-210178	registrator@statensmedierad.se	www.statensmedierad.se	2010:1923
202100-5075	STATENS MUSEER FÖR VÄRLDSKULTUR	BOX 5306	402 27	GÖTEBORG	SÖDRA VÄGEN 54	412 54	GÖTEBORG	010-4561200	010-4561150	registrator@varldskulturmuseerna.se	www.varldskulturmuseerna.se	2007:1185
202100-3666	STATENS MUSIKVERK	BOX 16326	103 26	STOCKHOLM	SIBYLLEGATAN 2	114 51	STOCKHOLM	08-51955450	08-6639181	registrator@musikverket.se	www.musikverket.se	2010:1922
202100-5778	STATENS NÄMND FÖR ARBETSTAGARES UPPFINNINGAR		103 33	STOCKHOLM				08-4051000			www.regeringen.se/myndigheter-med-flera/statens-namnd-for-arbetstagares-uppfinningar2/	2007:908
202100-6453	STATENS SERVICECENTER	FE 15	801 71	GÄVLE	RUDDAMMSGATAN 30	803 20	GÄVLE	0771-456000		registrator@statenssc.se	www.statenssc.se	2012:208
202100-5828	STATENS SKADEREGLERINGSNÄMND	BOX 2218	103 15	STOCKHOLM				08-7000800			http://www.kammarkollegiet.se/n-mndmyndigheter/skaderegleringsn-mnden	2007:826
202100-6065	STATENS SKOLINSPEKTION	BOX 23069	104 35	STOCKHOLM	SVEAVÄGEN 159	113 46	STOCKHOLM	08-58608000	08-58608010	skolinspektionen@skolinspektionen.se	www.skolinspektionen.se	2011:556
202100-4185	STATENS SKOLVERK		106 20	STOCKHOLM	FLEMINGGATAN 14	112 26	STOCKHOLM	08-52733200	08-244420	registrator@skolverket.se	www.skolverket.se	2015:1047
202100-5851	STATENS TJÄNSTEPENSIONS- OCH GRUPPLIVNÄMND		851 90	SUNDSVALL				060-187546	060-187438	kundservice@spv.se	www.spv.se	2007:833
202100-0928	STATENS TJÄNSTEPENSIONSVERK		851 90	SUNDSVALL	JÄGARGATAN 1	852 37	SUNDSVALL	060-187400	060-187438	kundservice@spv.se	www.spv.se	2007:832
202100-1868	STATENS VETERINÄRMEDICINSKA ANSTALT		751 89	UPPSALA	ULLS VÄG 2	756 51	UPPSALA	018-674000	018-309162	sva@sva.se	www.sva.se	2009:1394
202100-0704	STATENS VÄG- OCH TRANSPORTFORSKNINGSINSTITUT		581 95	LINKÖPING	OLAUS MAGNUS VÄG 35	583 30	LINKÖPING	013-204000	013-141436	vti@vti.se	www.vti.se	2007:964
202100-4763	STATENS ÖVERKLAGANDENÄMND	BOX 2218	103 15	STOCKHOLM				08-7000800	08-204969	registratur@kammarkollegiet.se	www.kammarkollegiet.se/namndmyndigheter/statens-overklagandenamnd/om-namnden	2007:835
202100-0837	STATISTISKA CENTRALBYRÅN		701 89	ÖREBRO	KLOSTERGATAN 23	703 61	ÖREBRO	010-4794000	010-4797080	scb@scb.se	www.scb.se	2016:822
202100-0852	STATSKONTORET	BOX 396	101 27	STOCKHOLM	TORSGATAN 11	111 23	STOCKHOLM	08-4544600	08-7918972	registrator@statskontoret.se	www.statskontoret.se	2007:827
202100-6560	STOCKHOLMS KONSTNÄRLIGA HÖGSKOLA	BOX 24045	104 50	STOCKHOLM	LINNÉGATAN 87	115 23	STOCKHOLM	08-49400000	08-49400203	registrator@uniarts.se	www.uniarts.se	1993:100
202100-3062	STOCKHOLMS UNIVERSITET		106 91	STOCKHOLM	UNIVERSITETSVÄGEN 10 A	114 18	STOCKHOLM	08-162000	08-159522	registrator@su.se	www.su.se	1993:100
202100-5737	STRÅLSÄKERHETSMYNDIGHETEN		171 16	STOCKHOLM	SOLNA STRANDVÄG 96	171 54	SOLNA	08-7994000		registrator@ssm.se	www.stralsakerhetsmyndigheten.se	2008:452
202100-3815	STYRELSEN FÖR ACKREDITERING OCH TEKNISK KONTROLL	BOX 878	501 15	BORÅS	ÖSTERLÅNGGATAN 5	503 31	BORÅS	0771-990900	033-101392	registrator@swedac.se	www.swedac.se	2009:895
202100-6800	STYRELSEN FÖR SAMEFONDEN	BOX 90	981 22	KIRUNA							www.sametinget.se/samefonden	1993:384
202100-5224	SVENSKA ESF-RÅDET	BOX 47141	100 74	STOCKHOLM	ROSTERIGRÄND 12 3 TR	117 61	STOCKHOLM	020-333390	08-57917101	esf@esf.se	www.esf.se	2007:907
202100-6818	SVENSKA FAO-KOMMITTÉN		103 33	STOCKHOLM							www.regeringen.se/sveriges-regering/naringsdepartementet/FAO-och-Svenska-FAO--kommitten	1995:1100
202100-4961	SVENSKA INSTITUTET	BOX 7434	103 91	STOCKHOLM	SLOTTSBACKEN 10	111 30	STOCKHOLM	08-4537800	08-207248	si@si.se	www.si.se	2015:152
202100-5331	SVENSKA INSTITUTET FÖR EUROPAPOLITISKA STUDIER	FLEMINGGATAN 20	112 26	STOCKHOLM	FLEMINGGATAN 20	112 26	STOCKHOLM	08-58644700	08-58644706	info@sieps.se	www.sieps.se	2008:748
202100-3583	SVERIGES FÖRFATTARFOND	BOX 6243	102 34	STOCKHOLM	SVEAVÄGEN 82 2TR	113 59	STOCKHOLM	08-4404550	08-4404565	svff@svff.se	www.svff.se	1962:652
202100-2528	SVERIGES GEOLOGISKA UNDERSÖKNING	BOX 670	751 28	UPPSALA	VILLAVÄGEN 18	752 36	UPPSALA	018-179000	018-179210	sgu@sgu.se	www.sgu.se	2008:1233
202100-2817	SVERIGES LANTBRUKSUNIVERSITET	BOX 7070	750 07	UPPSALA	ALMAS ALLÉ 8	756 51	UPPSALA	018-671000	018-672000	registrator@slu.se	www.slu.se	1993:221
202100-0696	SVERIGES METEOROLOGISKA OCH HYDROLOGISKA INSTITUT		601 76	NORRKÖPING	FOLKBORGSVÄGEN 17	603 80	NORRKÖPING	011-4958000	011-4958001	smhi@smhi.se	www.smhi.se	2009:974
202100-5703	SÄKERHETS- OCH INTEGRITETSSKYDDSNÄMNDEN	BOX 22523	104 22	STOCKHOLM	NORR MÄLARSTRAND 6 3 TR	112 20	STOCKHOLM	010-6179800	010-5687010	sakint@sakint.se	www.sakint.se	2007:1141
202100-6594	SÄKERHETSPOLISEN	BOX 12312	102 28	STOCKHOLM	BOLSTOMTAVÄGEN 2	171 69	SOLNA	010-5687000		sakerhetspolisen@sakerhetspolisen.se	www.sakerhetspolisen.se	2014:1103
202100-4896	SÖDERTÖRNS HÖGSKOLA		141 89	HUDDINGE	ALFRED NOBELS ALLÉ 7	141 52	HUDDINGE	08-6084000	08-6084010	registrator@sh.se	www.sh.se	1993:100
202100-5364	TANDVÅRDS-OCH LÄKEMEDELSFÖRMÅNSVERKET, TLV	BOX 22520	104 22	STOCKHOLM	FLEMINGGATAN 18	112 26	STOCKHOLM	08-56842050	08-56842099	registrator@tlv.se	www.tlv.se	2007:1206
202100-6149	TILLVÄXTVERKET	BOX 4044	102 61	STOCKHOLM	VÄSTGÖTAGATAN 5	118 27	STOCKHOLM	08-6819100	08-196828	tillvaxtverket@tillvaxtverket.se	www.tillvaxtverket.se	2009:145
202100-5182	TOTALFÖRSVARETS FORSKNINGSINSTITUT, FOI		164 90	STOCKHOLM	GULLFOSSGATAN 6	164 40	KISTA	08-55503000	08-55503100	registrator@foi.se	www.foi.se	2007:861
202100-4771	TOTALFÖRSVARETS REKRYTERINGSMYNDIGHET	KAROLINEN	651 80	KARLSTAD	VÅXNÄSGATAN 10	653 40	KARLSTAD	0771-244000	010-8211002	exp@rekryteringsmyndigheten.se	www.rekryteringsmyndigheten.se	2010:1472
202100-6305	TRAFIKANALYS	TORSGATAN 30	113 21	STOCKHOLM	TORSGATAN 30	113 21	STOCKHOLM	010-4144200	010-4144210	trafikanalys@trafa.se	www.trafa.se	2010:186
202100-6297	TRAFIKVERKET		781 89	BORLÄNGE	RÖDA VÄGEN 1	781 70	BORLÄNGE	0771-921921		trafikverket@trafikverket.se	www.trafikverket.se	2010:185
202100-6099	TRANSPORTSTYRELSEN		601 73	NORRKÖPING	OLAI KYRKOGATA 35	602 32	NORRKÖPING	0771-503503	011-4152250	kontakt@transportstyrelsen.se	www.transportstyrelsen.se	2008:1300
202100-0969	TULLVERKET	BOX 12854	112 98	STOCKHOLM	TEGELUDDSVÄGEN 21 PLAN 7	115 41	STOCKHOLM	0771-520520	08-208012	tullverket@tullverket.se	www.tullverket.se	2016:1332
202100-2874	UMEÅ UNIVERSITET		901 87	UMEÅ	UNIVERSITETSTORGET 4 SAMVERKANSHUSET	907 36	UMEÅ	090-7865000	090-7866670	umea.universitet@umu.se	www.umu.se	1993:100
202100-6487	UNIVERSITETS- OCH HÖGSKOLERÅDET	BOX 45093	104 30	STOCKHOLM	WALLINGATAN 2	111 60	STOCKHOLM	010-4700300		registrator@uhr.se	www.uhr.se	2012:811
202100-6495	UNIVERSITETSKANSLERSÄMBETET	BOX 7703	103 95	STOCKHOLM	LÖJTNANTSGATAN 21	115 50	STOCKHOLM	08-56308500		registrator@uka.se	www.uka.se	2012:810
202100-6610	UPPHANDLINGSMYNDIGHETEN	BOX 1194	171 23	SOLNA	SVETSARVÄGEN 10	171 41	SOLNA	08-58621700		registrator@uhmynd.se	www.upphandlingsmyndigheten.se	2015:527
202100-2932	UPPSALA UNIVERSITET	BOX 256	751 05	UPPSALA	DAG HAMMARSKJÖLDS VÄG 7	752 37	UPPSALA	018-4710000	018-4712000	registrator@uu.se	www.uu.se	1993:100
202100-6826	UTRIKESFÖRVALTNINGENS ANTAGNINGSNÄMND		103 33	STOCKHOLM								1991:360
202100-5281	VALMYNDIGHETEN	BOX 12191	102 25	STOCKHOLM				08-6356900	08-6356920	registrator@val.se	www.val.se	2007:977
202100-5216	VERKET FÖR INNOVATIONSSYSTEM		101 58	STOCKHOLM	MÄSTER SAMUELSGATAN 56	111 21	STOCKHOLM	08-4733000	08-4733005	vinnova@vinnova.se	www.vinnova.se	2009:1101
202100-5208	VETENSKAPSRÅDET	BOX 1035	101 38	STOCKHOLM	VÄSTRA JÄRNVÄGSGATAN 3	111 64	STOCKHOLM	08-54644000	08-54644180	vetenskapsradet@vr.se	www.vr.se	2009:975
202100-0084	ÅKLAGARMYNDIGHETEN	BOX 5553	114 85	STOCKHOLM	ÖSTERMALMSGATAN 87 C	114 59	STOCKHOLM	010-5625000	010-5625299	registrator@aklagare.se	www.aklagare.se	2015:743
202100-2924	ÖREBRO UNIVERSITET		701 82	ÖREBRO	FAKULTETSGATAN 1	702 81	ÖREBRO	019-303000	019-303465	registrator@oru.se	www.oru.se	1993:100
202100-4375	ÖVERKLAGANDENÄMNDEN FÖR HÖGSKOLAN	BOX 7249	103 89	STOCKHOLM				08-56308700	08-56308550	onh@onh.se	www.onh.se	2007:991
202100-6024	ÖVERKLAGANDENÄMNDEN FÖR NÄMNDEMANNAUPPDRAG	BOX 714	851 21	SUNDSVALL				060-186600	060-186652	kammarrattenisundsvall@dom.se	www.kammarrattenisundsvall.se	2007:1081
