Land	Namn	Ambassadör/Generalkonsul	PostAdress1	PostAdress2	PostAdress3	PostAdress4	PostAdress5	PostAdress6	PostAdress7	BesöksAdress1	BesöksAdress2	BesöksAdress3	BesöksAdress4	BesöksAdress5	BesöksAdress6	BesöksAdress7	Tfn	Fax	Epost	Webbadress
Mali	Sveriges ambassad Bamako	Eva Emnéus	Ambassade de Suède	BP E2093	Bamako	Mali				Ambassade de Suède	Immeuble UATT, 2eme etage, Quartier du Fleuve	Quartier du Fleuve	Bamako, Mali				+223 20 70 70 00	+223 20 70 70 10	ambassaden.bamako@gov.se & ambassaden.bamako-migration@gov.se	www.swedenabroad.com/bamako
Malta	Kansliet för de Stockholmsbaserade sändebuden (KSS)	Cecilia Björner	UD-KSS	Stockholmsbaserade ambassadörer med kansli	103 39 Stockholm					Tegelbacken 2							+46 (8) 405 10 00	+46 (8) 723 11 76	ud-kss@gov.se	www.swedenabroad.com/europa
Marocko	Sveriges ambassad Rabat	Erika Ferrer	Ambassade de Suède	P.O. Box 428	RP Rabat	Marocko				Sveriges Ambassad	159, Avenue Mohamed IV	Rabat-Souissi	Marocko				+212 537 63 32 10	+212 537 75 80 48	ambassaden.rabat@gov.se	http://www.swedenabroad.com/rabat
Marshallöarna	se Japan																			
Mauretanien	se Senegal																			
Mauritius	se Zimbabwe																			
Mexiko	Sveriges ambassad Mexiko	Annika Thunborg	Embajada de Suecia	Col. Lomas de Chapultepec,	CP 11000 México	Mexiko				Sveriges Ambassad	Paseo de las Palmas 1375	Col. Lomas de Chapultepec	México				+52 55-91 78 50 10	+52 55-55 40 32 53	ambassaden.mexico@gov.se	www.swedenabroad.se
Mikronesien	se Japan																			
Moçambique	Sveriges ambassad Maputo	Marie Andersson de Frutos	Embaixada da Suécia	Caixa Postal 338	Maputo	Moçambique				Sveriges Ambassad	Avenida Julius Nyerere 1128	Maputo	Moçambique				+258-21-480 300	+258-21-480 390 , 480 391	ambassaden.maputo@gov.se	www.swedenabroad.se/maputo
Moldavien	Sveriges ambassad Chisinau	Signe Burgstaller	Embassy of Sweden	12 Toma Ciorba St.	MD2004	Chisinau	Moldavien			Sveriges ambassad	12 Toma Ciorba St.	Chisinau					+373 22 26 73 20	+373 22 26 73 30	ambassaden.chisinau@gov.se	www.swedenabroad.com/chisinau
Monaco	se Frankrike																			
Mongoliet	se Kina																			
Montenegro	se Serbien																			
Myanmar (Burma)	se Thailand																			
Namibia	Sveriges ambassad Windhoek	Peter Tejler	Embassy of Sweden	P.O. Box 23087	Windhoek	Namibia				Sveriges Ambassad	9th floor, Sanlam Centre, 154 Independence Avenue	Windhoek					+264 (61) 285 91 11	+264 (61) 285 92 22	ambassaden.windhoek@foreign.ministry.se	www.swedenabroad.com/windhoek
Nederländerna	Sveriges ambassad Haag	Annika Markovic	Embassy of Sweden	Postbus 85601	2508 CH Den Haag	Nederländerna				Sveriges Ambassad	Jan Willem Frisolaan 3	2517 JS Den Haag					+31 (70) 412 02 00	+31 (70) 412 02 11	ambassadenhaag@gov.se	www.swedenabroad.com/haag
Nepal	se Indien																			
Niger	se Nigeria																			
Nigeria	Sveriges ambassad Abuja	Inger Ultvedt	Embassy of Sweden	PMB 569	Garki	Abuja	Nigeria			Sveriges Ambassad	Plot 1520, T.Y. Danjuma Street	41 Asokoro District	Abuja				+234 9 29 15 427		ambassaden.abuja@gov.se	www.swedenabroad.com/abuja
Nordkorea	Sveriges ambassad Pyongyang	Jonas Wendel	Embassy of Sweden	Munsu-dong, Taehak Street	Taedonggang District	Pyongyang				Sveriges Ambassad	Munsu-dong, Taehak Street	Taedonggang District	Pyongyang				+850 (0)2 381 74 85	+850 (0)2 381 76 63	ambassaden.pyongyang@gov.se	www.swedenabroad.com/pyongyang
Norge	Sveriges ambassad Oslo		Box 4001 AMB	0244 Oslo	Norge					Sveriges Ambassad	Nobels gate 16 A	0268 Oslo					+47 (-) 24 11 42 00	+47 (-) 22 55 15 96	ambassaden.oslo@gov.se	www.swedenabroad.com/oslo
Nya Zeeland	se Australien																			
Oman	se Saudiarabien																			
Pakistan	Sveriges ambassad Islamabad	Ingrid Johansson	Embassy of Sweden	P.O. Box 1100	Islamabad	Pakistan				Sveriges Ambassad	House No. 4, Street No. 5, F-6/3	Islamabad					+92 (51) 207 26 00	+92 (51) 207 26 60	ambassaden.islamabad@gov.se	www.swedenabroad.com/islamabad
Palau	se Filippinerna																			
Panama	se Colombia																			
Papua Nya Guinea	se Australien																			
Paraguay	se Argentina																			
Peru	Sidoackrediterad	Anna Ferry	Via Principal 155	Edif. Real Tres	Of. 501-A, San Isidro	Lima 27, Peru				Via Principal 155	Edif. Real Tres	Of. 501-A, San Isidro	Lima 27, Peru				+511 5669240	+511 2210298	ambassaden.lima@gov.se	Swedenabroad.com/Lima
Polen	Sveriges ambassad Warszawa	Inga Eriksson Fogh	Embassy of Sweden	ul. Bagatela 3	00-585 Warszawa	Polen				Sveriges Ambassad	ul. Bagatela 3	Warszawa					+48 (22) 640 89 00	+48 (22) 640 89 83	ambassaden.warszawa@gov.se	www.swedenabroad.com/warszawa
Portugal	Sveriges ambassad Lissabon	Helena Pilsas Ahlin	Embaixada da Suécia	Rua Miguel Lupi, 12-2°-Dt°	1249-077 Lisboa	Portugal				Embaixada da Suécia	Rua Miguel Lupi, 12-2°-Dt°	1249-077 Lisboa					+351 (-) 213 942 260	+351 (-) 213 942 261	ambassaden.lissabon@gov.se	www.swedenabroad.com/lissabon
Qatar	Sveriges ambassad Doha	Ewa Polano	P.O.Box 22649	West Bay, Doha	Qatar					Palm Tower B, suite 1301	Al Dafna, Doha	Qatar					+974 4444 9500	+974 4444 3350	ambassaden.doha@gov.se	www.swedenabroad.com/doha
Rumänien	Sveriges ambassad Bukarest	Anneli Lindahl Kenny	Embassy of Sweden	Casuta Postala 2-142	014730 Bukarest	Rumänien				Sveriges Ambassad	Sos. Kiseleff 43	011343 Bukarest					+40 (21) 406 71 00	+40 (21) 406 71 24	ambassaden.bukarest@gov.se	www.swedenabroad.com/bukarestt
Rwanda	Sveriges ambassad Kigali	Jenny Ohlsson	Embassy of Sweden	P.O Box 6387	Kigali	Rwanda				Aurore Building	Kacyiru, 1st Floor	Kigali					+250 252 59 74 00	+250 252 59 74 59	ambassaden.kigali@gov.se	www.swedenabroad.rwanda. com/sv-SE/Ambassader/Kigali
Ryssland (Ryska Federationen)	Sveriges ambassad Moskva	Peter Ericson	Embassy of Sweden	Ulitsa Mosfilmovskaja 60	119590 Moskva	Ryssland				Sveriges Ambassad	Ulitsa Mosfilmovskaya 60	Moskva					+7 (495) 937 92 00	+7 (495) 937 92 02	ambassaden.moskva@gov.se	swedenabroad/com/moskva
Ryssland (Ryska Federationen)	Sveriges generalkonsulat Sankt Petersburg	Eva Sundquist	Sveriges Generalkonsulat	Malaya Konyushennaya 1/3	Sankt Petersburg RU-191186	Ryska Federationen				Sveriges Generalkonsulat	Malaya Konyushennaya 1/3	Sankt Petersburg 191186	Ryska Federationen				+7 812 329 14 30	+7 812 329 14 50	generalkonsulat.st-petersburg@gov.se	www.swedenabroad.com/sanktpetersburg
Saint Lucia	Kansliet för de Stockholmsbaserade sändebuden (KSS)	Claes Hammar	UD-KSS	Stockholmsbaserade ambassadörer med kansli	103 39 Stockholm												+46 (8) 405 10 00	+46 (8) 723 11 76	ud-kss@gov.se	
Saint Vincent och Grenadinerna	Kansliet för de Stockholmsbaserade sändebuden (KSS)	Claes Hammar	UD-KSS	Stockholmsbaserade ambassadörer med kansli	103 39 Stockholm												+46 (8) 405 10 00	+46 (8) 723 11 76	ud-kss@gov.se	http://www.swedenabroad.com/Page____115430.aspx
Salomonöarna	se Australien																			
Samoa	se Australien																			
San Marino	se Italien																			
Sao Tomé och Principe	se Angola																			
Saudiarabien	Sveriges ambassad Riyadh	Jan Knutsson	Embassy of Sweden	P.O. Box 94382	Riyadh 11693	Saudiarabien				Sveriges Ambassad	Collector Road B	Diplomatic Quarter	Riyadh				+966 1 880 67 00,	+966 1 488 06 04	ambassaden.riyadh@gov.se	www.swedenabroad.com/Saudiarabien
Schweiz	Sveriges ambassad Bern	Magnus Hartog- Holm	Schwedische Botschaft	3011 Bern	Schweiz					Sveriges Ambassad	Bundesgasse 26	Bern					+41 31 328 70 00	+41 31 328 70 01	ambassaden.bern@gov.se	www.swedenabroad.com/bern
Schweiz	Sveriges representation Genève	Veronika Bard	Case Postale 190	1211 Genève 20	Schweiz					82, rue de Lausanne	1202 Genève						+41 22 908 08 00	+41 22 908 08 10	mission.sweden@bluewin.ch	www.swedenabroad.com/geneva
Senegal	Kansliet för de stockholmsbaserde sändebuden (KSS)		UD-KSS	Stockholmsbaserade ambassadörer	103 39 Stockholm					Tegelbacken 2							+46 8 405 10 00	+46 8 723 11 76	ud-kss@gov.se	www.swedenabroad.com/sv-SE/Ambassader/Afrika/Om-oss/Senegal
Serbien	Sveriges ambassad Belgrad	Jan Lundin	Embassy of Sweden	P.O.B 5	11040 Belgrad	Serbien				Sveriges Ambassad	Ledi Pedzet 2	Dedinje	Belgrad				+381 (11) 20 69 200	+381 (11) 20 69 250	ambassaden.belgrad@gov.se	www.swedenabroad.se/belgrad
Seychellerna	se Kenya																			
Sierra Leone	Kansliet för de Stockholmsbaserade sändebuden (KSS)		UD-KSS	Stockholmsbaserade ambassadörer	103 39 Stockholm					Tegelbacken 2							+46 8 405 10 00	+46 8 723 11 76	ud-kss@gov.se	www.swedenabroad.com/sv-SE/Ambassader/Afrika/Om-oss/Sierra-Leone
Singapore	Sveriges ambassad Singapore	Håkan Jevrell	Embassy of Sweden	TripleOne Somerset,	111 Somerset Road 05-01	Singapore 238164	Singapore			Sveriges Ambassad	TripleOne Somerset,	111 Somerset Road 05-01	Singapore				+65 (-) 64 15 9720	+65 (-) 64 15 9747	ambassaden.singapore@gov.se	www.swedenabroad.com/singapore
Slovakien	Sveriges konsulat Bratislava	Konsul Vladimír Kestler	Tomášikova 30	821 01 Bratislava	Slovakien					Tomášikova 30	821 01 Bratislava	Slovakien					+421 2 434 217 00	+421 2 482 402 51	zupka@omniaholding.sk	www.swedenabroad.com/bratislava
Slovenien	Sveriges konsulat Ljubljana	Honorär generalkonsul Slobodan Sibincic	Kersnikova 6	1000 Ljubljana	Slovenien					Kersnikova 6	1000 Ljubljana	Slovenien					+386 41 661 906	+386 1 433 0480	sibincic@gvskupina.si	www.swedenabroad.com/ljubljana
Somalia	se Kenya																			
Spanien	Sveriges ambassad Madrid	Lars-Hjalmar Wide	Embajada de Suecia	Calle Caracas 25	280 10 Madrid	Spanien				Sveriges Ambassad	Calle Caracas 25	280 10 Madrid					+34 91 702 20 00	+34 91 702 20 40	ambassaden.madrid@gov.se	www.swedenabroad.com/madrid
Sri Lanka	se Indien																			
St Kitts och Nevis	Kansliet för de Stockholmsbaserade sändebuden (KSS)	Claes Hammar	UD-KSS	Stockholmsbaserade ambassadörer med kansli	103 39 Stockholm												+46 (8) 405 10 00	+46 (8) 723 11 76	ud-kss@gov.se	http://www.swedenabroad.com/Page____115427.aspx-
Storbritannien och Nordirland	Sveriges ambassad London	Torbjörn Sohlström	Embassy of Sweden	11 Montagu Place	London W1H 2AL	Storbritannien				Sveriges Ambassad	11 Montagu Place	London W1H 2AL					+44 (20) 7917 6400	+44 (20) 7724 4174	ambassaden.london@gov.se	www.swedenabroad.com/london
Sudan	Sveriges ambassad Khartoum	Hans Henric Lundqvist	Embassy of Sweden	P.O.Box 2206	Khartoum	Sudan				Sveriges ambassad	House 70,	Street 43,	Khartoum 1,	Khartoum			+249 187 18 87 00		ambassaden.khartoum@gov.se	www.swedenabroad.com/khartoum
Surinam	Kansliet för de Stockholmsbaserade sändebuden	Claes Hammar	UD KSS	Utrikesdepartementet	SE-103 39 Stockholm	Sverige											+46 8 405 1000	+46 8 723 1176	ud-kss@gov.se	
Swaziland	se Moçambique																			
Sydafrika	Sveriges ambassad Pretoria	Cecilia Julin	Embassy of Sweden	P.O. Box 13477	Hatfield 0028	Sydafrika				Sveriges Ambassad	iParioli Complex	1166 Park Street	Hatfield	Pretoria			+27 (12) 426 64 00	+27 (12) 426 64 64	ambassaden.pretoria@gov.se	www.swedenabroad.com/pretoria
Sydkorea	Sveriges ambassad Seoul	Jakob Hallgren	Embassy of Sweden	CPO Box 3577	Seoul 100-635	Republic of Korea				Sveriges Ambassad	Danam Building, 8F	10 Sowol-ro	Jung-Gu	Seoul 100-704			+82 2 3703 3700	+82 2 3703 3701/2	ambassaden.seoul@gov.se	www.swedenabroad.com/seoul
Sydsudan	Se Sudan																			
Syrien	Sveriges ambassad Damaskus	Jörgen Lindström	Ambassade de Suède	P.O. Box 4266	Damascus	Syria				Sveriges Ambassad	No. 6, Fatmeh Idriss lane,	Al-Ghazzawi st, Western Villas, Mezzeh,	Damascus, Syria				+963 (11) 619 09 000	+96(11)619 09 033	ambassaden.damaskus@gov.se	www.swedenabroad.com/damaskus
Tadzjikistan	Kansliet för de Stockholmsbaserade sändebuden (KSS)	Ingrid Tersman	Regeringskansliet	103 39 Stockholm						Tegelbacken 2	103 39 Stockholm						+46 (8) 405 10 00	+46 (8) 723 11 76	ud-kss@gov.se	http://www.swedenabroad.com/en-GB/Embassies/Central-Asia/About-us/Tadjikistan
Tanzania	Sveriges ambassad Dar es Salaam	Katarina Rangnitt	Embassy of Sweden	P.O. Box 9274	Dar es Salaam	Tanzania				Sveriges Ambassad	Mirambo Street - Garden Avenue	Dar es Salaam					+255 (22) 219 65 00	+255 (22) 219 65 03	ambassaden.dar-es-salaam@gov.se	www.swedenabroad.com/daressalaam
Tchad	se Kongo, demokratiska republiken																			
Thailand	Sveriges ambassad Bangkok	Staffan Herrström	Embassy of Sweden	P.O. Box 1324, Nana Post Office	Bangkok 10112	Thailand				Sveriges Ambasssad	20th Floor, One Pacific Place	140 Sukhumvit Road, between soi 4 and 6	Bangkok	Thailand			+66 2 263 7200	+66 2 263 7260	ambassaden.bangkok@gov.se	www.swedenabroad.com/bangkok
Tjeckien	Sveriges ambassad Prag	Ambassadör Viktoria Li	Embassy of Sweden	P.O. Box 35	CZ-160 12 Praha 612	Tjeckien				Sveriges Ambassad	Úvoz 13	118 00 Prag 1 - Hradcany	Tjeckien				+420 (-) 220 313 200	+420 (-) 220 313 240	ambassaden.prag@gov.se	www.swedenabroad.com/prag
Togo		Per Carlson	103 39 Stockholm							Tegelbacken 2							+46 (8) 405 10 00	+46 (8) 723 11 76	ud-kss@gov.se	
Tonga	se Australien																			
Trinidad och Tobago	Kansliet för de Stockholmsbaserade sändebuden (KSS)	Claes Hammar	UD-KSS	Stockholmsbaserade ambassadörer med kansli	103 39 Stockholm												+46 (8) 405 10 00	+46 (8) 723 11 76	ud-kss@gov.se	http://www.swedenabroad.com/Page____115428.aspx-
Tunisien	Kansliet för de Stockholmsbaserade sändebuden (KSS)	Jan Thesleff	UD-KSS	Stockholmsbaserade ambassadörer med kansli	103 39 Stockholm												+46 (8) 405 10 00	+46 (8) 723 11 76	ud-kss@foreign.ministry.se	
Turkiet	Sveriges ambassad Ankara	Annika Molin Hellgren	Embassy of Sweden	P.O.B. 3	06692 Kavaklidere	Ankara	Turkiet			Sveriges Ambassad	Katip Celebi Sokak 7	Kavaklidere	Ankara	Turkiet			+90 (312) 455 41 00	+90 (312) 455 41 20	ambassaden.ankara@gov.se	www.swedenabroad.se/ankara
Turkiet	Sveriges generalkonsulat Istanbul	Therese Hydén	Consulate General of Sweden	P.K. 125	34433 Beyoglu	Istanbul	Turkiet			Sveriges Generalkonsulat	Istiklal Caddesi 247	Beyoglu	Istanbul				+90 212 334 0600	+90 212 334 0628	generalkonsulat.istanbul@gov.se	www.swedenabroad.com/istanbul
Turkmenistan	Kansliet för de Stockholmsbaserade sändebuden (KSS)	Ingrid Tersman	Regeringskansliet	UD-KSS	103 39 Stockholm					Tegelbacken 2	103 39 Stockholm						+46 (8) 405 10 00	+46 (8) 723 11 76	ud-kss@gov.se	http://www.swedenabroad.com/en-GB/Embassies/Central-Asia/About-us/Turkmenistan/
Tyskland	Sveriges ambassad Berlin	Per Thöresson	Schwedische Botschaft	Rauchstrasse 1	10787 Berlin	Tyskland				Schwedische Botschaft	Rauchstrasse 1	107 87 Berlin					+49 (30) 50 50 60	+49 (30) 50 50 67 89	ambassaden.berlin@gov.se	www.swedenabroad.com/berlin
Tyskland	Sveriges generalkonsulat Hamburg	Bengt Lundborg	Schwedisches Generalkonsulat	Alsterufer 15	20354 Hamburg	Tyskland				Sveriges Generalkonsulat	Alsterufer 15	20354 Hamburg					+49 40 4501450	+49 40 45014514	generalkonsulat.hamburg@foreign.ministry.se	www.swedenabroad.com/hamburg
Uganda	Sveriges ambassad Kampala	Per Lindgärde	Embassy of Sweden	P.O. Box 22669	Kampala	Uganda				Sveriges Ambassad	Plot 24, Lumumba Avenue	Nakasero	Kampala				+256 41 77 00 800	+256 41 77 00 801	ambassaden.kampala@gov.se	www.swedenabroad.com/kampala
Ukraina	Sveriges ambassad Kiev	Martin Hagström	Embassy of Sweden	Ivan Franko Street 34/33, 3rd floor	01901 Kiev	Ukraina				Sveriges Ambassad	Ivana Franka Street 34/33, 3rd floor	Kiev					+380 44 494 4270	+380 44 494 42 71	ambassaden.kiev@gov.se	www.swedenabroad.com/kiev
Ungern	Sveriges ambassad Budapest	Niclas Trouvé	Embassy of Sweden	Kapás utca 6-12	1027 Budapest	Ungern				Sveriges Ambassad	Kapás utca 6-12	Budapest					+36 (1) 460 60 20	+36 (1) 460 60 21	ambassaden.budapest@gov.se	www.swedenabroad.com/budapest
Uruguay	se Argentina																			
Uzbekistan	Kansliet för de Stockholmsbaserade sändebuden (KSS)	Ingrid Tersman	Regeringskansliet	UD-KSS	103 39 Stockholm					Tegelbacken 2							+46 (8) 405 10 00	+46 (8) 723 11 76	ud-kss@gov.se	www.swedenabroad.com/en-GB/Embassies/Central-Asia/About-us/Uzbekistan
Vanuatu	se Australien																			
Venezuela	se Colombia																			
Vietnam	Sveriges ambassad Hanoi	Pereric Högberg	Embassy of Sweden	P.O. Box 9	Hanoi Post Office	Vietnam				Sveriges Ambassad	Dahea Business Center	15:e våningen	360 Kim Ma street	Ba Dinh, Hanoi			+84 4 37260 400	+84 4 37260410	ambassaden.hanoi@gov.se	www.swedenabroad.com/hanoi
Vitryssland	Sveriges ambassad Minsk	Christina Johannesson	Embassy of Sweden	vulitsa Revaljutsyjnaja 15	220030 MINSK	Vitryssland				Sveriges ambassad i Minsk	vulitsa Revaljutsyjnaja 15	220030 Minsk	Vitryssland				+375 17 329 17 00	+375 17 329 17 01	ambassaden.minsk@gov.se	www.swedenabroad.com/sv-SE/Ambassader/Minsk
Zambia	Sveriges ambassad Lusaka	Henrik Cederin	Embassy of Sweden	P.O. Box 50264	Ridgeway	10101 Lusaka	Zambia			Sveriges Ambassad	Haile Selassie Avenue,	Opposite Ndeke House	Longacres	Lusaka			+260 (211) 25 17 11	+260 (211) 25 40 49	ambassaden.lusaka@gov.se	http://www.swedenabroad.com/sv-SE/Ambassader/Lusaka
Zimbabwe	Sveriges ambassad Harare	Sofia Calltorp	Embassy of Sweden	P.O. Box 4110	Harare	Zimbabwe				Sveriges Ambassad	32 Aberdeen Road	Avondale	Harare				+263 (4) 302 636	+263 (4) 302 236	ambassaden.harare@gov.se	www.swedenabroad.se
Österrike	Sveriges ambassad Wien	Helen Eduards	Schwedische Botschaft	Liechtensteinstrasse 51	1090 Wien	Österrike				Sveriges Ambassad	Liechtensteinstrasse 51	1090 Wien					+43 (1) 217 53 00	+43 (1) 217 53 370	ambassaden.wien@gov.se	www.swedenabroad.com/wien
Österrike	Sveriges ständiga delegation vid organisationen för säkerhet och samarbete i Europa (OSSE) i Wien	Ulrika Funeredt	Sveriges ständiga delegation vid organisationen för säkerhet och samarbete i Europa	Liechtensteinstrasse 51	1090 Wien	Österrike				Liechtensteinstrasse 51	1090 Wien						+43 1 21 75 30	+43 1 21 75 33 80	osse-del.wien@gov.se	www.swedenabroad.com/osse
Östtimor	Sidoackrediterad från amb. Jakarta	Johanna Brismar Skoog								Menara Rajawali	9th floor	Jl. DR. Ide Anak Agung Gede Agung Lot #5.1	Kawasan Mega Kuningan	Jakarta  12950			+622125535900	+622125535941	ambassaden.jakarta@gov.se	www.swedenabroad.com/jakarta
